Designator,Mid X,Mid Y,Rotation,Layer
SW49,109.5375,-100.0125,-90,top
SW5,119.0625,-38.1,-90,top
SW50,128.5875,-100.0125,-90,top
SW51,147.6375,-100.0125,-90,top
SW52,166.6875,-100.0125,-90,top
SW53,185.7375,-100.0125,-90,top
SW54,204.7875,-100.0125,-90,top
SW55,223.8375,-100.0125,-90,top
SW56,242.8875,-100.0125,-90,top
SW57,261.9375,-100.0125,-90,top
SW58,292.89375,-100.0125,-90,top
SW59,328.6125,-100.0125,-90,top
SW6,142.875,-38.1,-90,top
SW60,50.00625,-119.0625,-90,top
SW61,80.9625,-119.0625,-90,top
SW62,100.0125,-119.0625,-90,top
SW63,119.0625,-119.0625,-90,top
SW64,138.1125,-119.0625,-90,top
SW65,157.1625,-119.0625,-90,top
SW66,176.2125,-119.0625,-90,top
SW67,195.2625,-119.0625,-90,top
SW68,214.3125,-119.0625,-90,top
SW69,233.3625,-119.0625,-90,top
SW7,161.925,-38.1,-90,top
SW70,252.4125,-119.0625,-90,top
SW71,278.60625,-119.0625,-90,top
SW72,309.5625,-123.825,-90,top
SW73,40.48125,-138.1125,-90,top
SW74,64.29375,-138.1125,-90,top
SW75,88.10625,-138.1125,-90,top
SW76,159.54375,-138.1125,-90,top
SW77,233.3625,-138.1125,-90,top
SW78,261.9375,-138.1125,-90,top
SW79,290.5125,-142.875,-90,top
SW8,180.975,-38.1,-90,top
SW80,309.5625,-142.875,-90,top
SW81,328.6125,-142.875,-90,top
SW9,200.025,-38.1,90,top
U1,339.455,-21.47,270,top
U2,331.36,-21.435,270,top
U3,313.21,-22.3,0,top
Y1,302.2325,-19.48,90,top
